,right-wing,left-wing,nationalist,authoritatian,exclusionary,radical,nativist,inclusionary,neoliberal,moderate
60,sociotropic,tribe,meaning-making,stabilise,indispensable,inscribe,epiphenomenal,roll,reformatting,palette
61,strive,centrist-moderate,turmoil,masquerade,quasi-unilateral,schematic,protean,materially,staunch,arson
62,resource-rich,cosmopolitan-liberal,fulfill,multiply,enlightened,leading,yearner,energise,purse,repel
63,fatcat,reﬁnement,rhetoric-performative,reasoned,reinterpret,objectivity,moratorium,utmost,rollback,employee
64,bragging,tragically,sedimentation,engineering,laclau,definitional,upmost,pleased,euro-rejectionist,unravelling
65,re-think,tanked,downgrade,inauguration,satisfactory,dislocatory,anti-monopoly,cross-regional,invert,mimic
66,over-written,ﬁts,paramilitary,anti-liberalism,petit,tent,pre-capitalist,modestly,raíze,vote-winning
67,ordo-liberal,http://www.lamarea.com/2015/02/04/discurso-integro-de-pab,double-bind,metaphysical,crossclass,rampant,swell,seeking,formas,refashion
68,bavarian,anti-localist,abhor,straight-up,plausibly,unrepresentable,unconscious,header,budgetary,ﬂank
69,unanticipated,anti-capitalism,traitor,post-,industrialisation,nonprofit,semi-loyal,crisis-related,terminology,justifiably
70,acquiescence,party-cum-movement,dismissal,ece,centralise,politics-as-hegemony,emancipative,token,squeeze,mid-2014
71,reexamine,anarchist,intact,fervor,anti-politician,ossification,stagnation,ﬁne-grained,hell,supervisor
72,ordinal,lo-iglesias-en-la-puerta-del-sol/,global-populism,longer-term,sporadically,post-hegemonic,tricky,after-modern,refocus,homeowner
73,trans-pacific,all-populist,non-majoritarian,diﬀerentiation,didactic,reframing,fertilisation,ﬁerce,nationalpopular,generalised
74,bogeyman,right-sided,pol,climate-related,sub-family,postfoundational,know-nothingism,cross-country,sterilization,bitter
75,antiamericanism,slump,afford,harbour,coloniality,politics-as-populism,anti-politicalestablishment,double-edged,collectivism,inﬂammatory
76,secession,argentine,lucid,exponentially,hierarchic,irreducible,thin-ideology,technicality,workplace,generalize
77,deindustrialization,discretional,straussian,incite,eurocentric,voracious,alienated,clearcut,spectre,victimise
78,hegemonistic,lecturer,combina,themed,accurate,superpower,barbaric,justiﬁe,chavista,demobilize
79,emphatic,believer,animate,ignorance,agonism,vitriolic,laxity,revitalisation,nicely,reemergence
80,typify,decoupling,nition,historicism,pretend,ocean,anti-british,aggregated,indignado,stridently
81,acrimony,afﬁrme,entirety,parent,hermeneutical,coalitional,estate,plutocrat,glimpse,zero-sum
82,bus,toll,martyrdom,kreuder-sonnen,post-referendum,militate,non-nativist,dysfunctional,height,frontrunner
83,undefined,demobilise,libre,awareness,trade-off,overcame,anti-partyism,enclosure,time-lag,vote-maximising
84,wrath,broad-based,distinc,fully-realized,longue,social-based,1—political-party,katsambeki,blue-collar,countervailing
85,political-philosophy,swallowing,http://www.nationalreview.com/article/429087/donald-trump-berniesanderss-populist-politics,thatcherist,berth,dip,blurred,anti-colonialism.[r]ace,de-democratisation,blame-oriented
86,rabble-rouser,imperil,hollow,practioner,singularity,vacillate,contrapose,giorgo,exoteric,acceleration
87,malicious,aggregator,void,uncharismatic,agglomerate,proof,haphazardly,antonym,maximization,one-oﬀ
88,ultra-nationalist,discoursive,quash,sometimes-robotic,instructive,environmentalist,sloppy,separable,groundwork,second-best
89,nightmare,fractional,tremendous,anti-authoritarian,counterpoint,paciﬁst,seed,antidote,integrative,identical
90,security-driven,screw,ulism,self-categorisation,add-on,reclamation,adjacent,ols,extractivism,transmit
91,mutuality,thorn,itic,masculinize,vantage,unwarily,pre-industrial,neofascist,natureza,non-compensatory
92,afterward,infect,demo,categorical,donate,protagonist,bespeak,interpersonal,governo,schaffhouse
93,co-sponsoring,rage,emeritus,preview,hibbing,untrammeled,ﬂeete,reformer,politicalstructural,conceivable
94,trafficking,inflation,obviousness,foreign-owned,elite-entrenched,discordance,aver,afﬁrmation,revolução,asserted
95,epistocrat,carelessly,individualistic,façade,anticipated,conscience,seriousness,profess,badly,inﬂationary
96,public-policy,falsely,overdetermination,best-educated,liberal-technocratic,recuperation,rapist,underprivileged,indict,ameliorate
97,demand-led,radical-leftist,purify,affluent,vigilant,right-party,unfairly,non-democratic,suck,fiscally
98,inaugurate,unreformed,bandwagon,re-surfaced,multi-country,mobilizing,blanket,holistic,abide,goertzian
99,repoliticize,straitjacket,demagoguing,populists-in-power,routinize,single-authored,streak,three-course,managerialism,incomparable
